,PERSON_ID,DISPLAY_FIRST_LAST,Q1_FGA,Q4_FGA,Q1_FG_PCT,Q4_FG_PCT,CD_2ft_FGA,CD_4ft_FGA,CD_6ft_FGA,CD_open_FGA,CD_2ft_FG_PCT,CD_4ft_FG_PCT,CD_6ft_FG_PCT,CD_open_FG_PCT,Drib_0_FGA,Drib_1_FGA,Drib_2_FGA,Drib_3_FGA,Drib_7_FGA,Drib_0_FG_PCT,Drib_1_FG_PCT,Drib_2_FG_PCT,Drib_3_FG_PCT,Drib_7_FG_PCT,SC_24_FGA,SC_22_FGA,SC_18_FGA,SC_15_FGA,SC_7_FGA,SC_4_FGA,SC_0_FGA,SC_24_FG_PCT,SC_22_FG_PCT,SC_18_FG_PCT,SC_15_FG_PCT,SC_7_FG_PCT,SC_4_FG_PCT,SC_0_FG_PCT,TT_2_FGA,TT_6_FGA,TT_long_FGA,TT_2_FG_PCT,TT_6_FG_PCT,TT_long_FG_PCT
0,203518,Alex Abrines,1.7,1.8,0.44,0.375,0.4,1.16,2.15,1.31,0.444,0.38,0.397,0.382,3.75,0.49,0.47,0.28,0.03,0.408,0.485,0.375,0.105,0.0,0.18,0.85,0.9,2.16,0.49,0.28,0.16,0.167,0.483,0.361,0.401,0.364,0.368,0.364,4.15,0.79,0.07,0.422,0.259,0.2
1,203112,Quincy Acy,1.8,1.5,0.395,0.479,0.05,0.13,0.16,0.21,0.5,0.6,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,203500,Steven Adams,3.2,1.1,0.569,0.556,2.63,4.1,1.1,0.34,0.495,0.591,0.636,0.741,6.0,1.0,0.48,0.68,0.01,0.606,0.475,0.5,0.463,1.0,1.03,0.91,1.29,3.73,0.64,0.34,0.13,0.561,0.63,0.621,0.591,0.51,0.333,0.3,5.98,1.94,0.25,0.613,0.484,0.3
3,201167,Arron Afflalo,2.4,1.4,0.441,0.379,0.77,2.79,2.43,0.85,0.447,0.435,0.419,0.519,3.33,1.13,0.85,1.3,0.23,0.453,0.507,0.346,0.43,0.357,0.11,0.64,0.62,3.38,1.05,0.82,0.11,0.857,0.41,0.342,0.51,0.375,0.36,0.0,4.02,2.41,0.41,0.449,0.435,0.4
4,201582,Alexis Ajinca,1.8,1.1,0.45299999999999996,0.46399999999999997,0.77,1.74,1.03,1.0,0.4,0.574,0.55,0.41,,,,,,,,,,,0.26,0.21,1.08,2.51,0.28,0.18,0.03,0.4,0.625,0.476,0.52,0.273,0.714,1.0,,,,,,
5,202332,Cole Aldrich,0.5,0.6,0.462,0.381,0.37,0.81,0.18,0.03,0.391,0.52,0.727,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,200746,LaMarcus Aldridge,4.6,3.2,0.465,0.45399999999999996,2.39,4.76,3.82,3.59,0.518,0.512,0.446,0.439,8.48,1.75,1.59,2.73,0.01,0.51,0.395,0.425,0.464,0.0,1.03,0.51,1.8,7.92,1.73,1.18,0.13,0.658,0.722,0.469,0.448,0.496,0.369,0.778,8.72,5.3,0.55,0.52,0.415,0.41
7,202730,Lavoy Allen,1.1,0.6,0.491,0.516,0.58,0.9,0.6,0.72,0.371,0.574,0.47200000000000003,0.37200000000000005,,,,,,,,,,,0.43,0.12,0.37,1.32,0.2,0.28,0.08,0.462,0.714,0.636,0.43,0.333,0.294,0.6,2.62,0.17,0.02,0.484,0.1,0.0
8,2754,Tony Allen,2.3,1.7,0.45399999999999996,0.475,3.0,3.34,1.08,0.96,0.423,0.523,0.41600000000000004,0.41200000000000003,4.63,1.42,0.66,1.08,0.58,0.459,0.525,0.426,0.416,0.439,1.03,1.32,1.08,3.76,0.56,0.56,0.06,0.562,0.596,0.442,0.401,0.5,0.325,0.75,5.58,2.11,0.69,0.475,0.44,0.408
9,202329,Al-Farouq Aminu,1.7,1.9,0.44299999999999995,0.369,1.67,1.9,1.33,2.72,0.353,0.509,0.395,0.337,4.79,0.74,0.79,1.18,0.13,0.404,0.4,0.375,0.375,0.25,0.52,0.85,0.93,3.56,1.07,0.57,0.11,0.5,0.346,0.491,0.341,0.477,0.4,0.286,5.11,2.36,0.15,0.407,0.375,0.222
