,GROUP_VALUE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,4Q_FG_PCT,4Q_FG3_PCT,4Q_FT_PCT,4Q_OREB,4Q_DREB,4Q_REB,4Q_AST,4Q_TOV,4Q_STL,4Q_BLK,PO_FG_PCT,PO_FG3_PCT,PO_FT_PCT,PO_OREB,PO_DREB,PO_REB,PO_AST,PO_TOV,PO_STL,PO_BLK,SC_FG_PCT,SC_FG3_PCT,SC_FT_PCT,SC_OREB,SC_DREB,SC_REB,SC_AST,SC_TOV,SC_STL,SC_BLK,PERSON_ID
0,1996-97,0.445,0.382,0.846,0.2,1.4,1.6,2.5,1.6,0.7,0.1,0.423,0.356,0.787,0.0,0.3,0.4,0.5,0.3,0.2,0.0,,,,,,,,,,,,,,,,,,,,,51
1,1997-98,0.377,0.161,1.0,0.2,1.0,1.2,1.9,0.6,0.5,0.0,0.359,0.0,1.0,0.1,0.5,0.6,1.0,0.3,0.1,0.0,,,,,,,,,,,,,,,,,,,,,51
2,2000-01,0.488,0.286,0.759,0.1,0.5,0.6,1.9,0.6,0.2,0.0,0.466,0.5,0.786,0.1,0.2,0.4,0.9,0.3,0.1,0.0,,,,,,,,,,,,,,,,,,,,,51
0,1997-98,0.403,0.211,0.672,0.7,1.2,2.0,0.9,1.1,0.6,0.2,0.366,0.364,0.69,0.4,0.6,1.0,0.3,0.4,0.3,0.1,,,,,,,,,,,,,,,,,,,,,1505
1,1998-99,0.435,0.286,0.691,1.5,2.3,3.8,1.0,1.4,1.0,0.3,0.407,0.0,0.2,0.2,0.2,0.4,0.1,0.3,0.2,0.0,0.455,0.0,0.813,1.2,2.6,3.8,0.8,0.6,0.8,0.8,,,,,,,,,,,1505
2,1999-00,0.415333333333,0.241666666667,0.752,1.66666666667,2.83333333333,4.5,1.63333333333,1.63333333333,0.866666666667,0.533333333333,0.4066666666666667,0.0,0.7536666666666667,0.26666666666666666,0.6,0.8666666666666667,0.3333333333333333,0.39999999999999997,0.13333333333333333,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,1505
3,2000-01,0.387,0.4,0.583,0.5,1.6,2.0,0.8,1.2,0.5,0.4,0.25,0.333,0.5,0.1,0.5,0.5,0.2,0.4,0.1,0.2,,,,,,,,,,,,,,,,,,,,,1505
4,2001-02,0.251,0.333333333333,0.492333333333,1.4,1.6,2.96666666667,0.866666666667,1.03333333333,0.733333333333,0.4,0.26666666666666666,0.0,0.4446666666666667,0.16666666666666666,1.1666666666666667,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.3666666666666667,0.3666666666666667,,,,,,,,,,,,,,,,,,,,,1505
5,2002-03,0.466,0.0,0.5,1.0,1.9,2.9,1.5,0.5,0.4,0.2,0.391,0.0,0.5,0.3,0.3,0.5,0.5,0.4,0.1,0.1,0.3,0.0,0.875,1.4,1.4,2.8,0.9,0.1,0.0,0.0,,,,,,,,,,,1505
0,1996-97,0.453,0.259,0.746,2.7,4.2,6.9,2.2,2.8,1.0,1.0,0.403,0.25,0.752,0.6,1.1,1.8,0.3,0.6,0.2,0.3,,,,,,,,,,,,,,,,,,,,,949
