PERSON_ID,SEASON,CT_W_PCT,CT_FG_PCT,CT_FGA,CT_FG3_PCT,CT_FG3A,CT_FT_PCT
51,1996-97,0.5,0.486,1.2,0.462,0.4,0.813
949,1996-97,0.219,0.5,0.4,0,0,0.85
912,1996-97,1,0,0,0,0,1
724,1996-97,0.417,0.143,0.6,0,0.3,0.7
706,1996-97,0.368,0.167,0.3,0,0.1,0.5
951,1996-97,0.421,0.308,0.7,0.143,0.2,0.757
732,1996-97,1,0,0,0,0,0
246,1996-97,0.364,0,0.1,0,0,0
72,1996-97,0.535,0.333,1.2,0.2,0.2,0.722
98,1996-97,0.654,0.304,0.9,0.368,0.7,0.273
1000,1996-97,0.714,0,0,0,0,0
335,1996-97,0.75,0,0,0,0,1
21,1996-97,0.227,0.214,0.6,0.167,0.3,0.8
769,1996-97,0.375,0,0,0,0,1
353,1996-97,0.526,0.3,0.5,0,0.3,0.636
355,1996-97,0.5,0.5,0.2,0,0,0.833
173,1996-97,0.778,0.4,0.2,0,0.1,0
278,1996-97,0.692,0.25,0.3,0,0,0.5
1134,1996-97,0.643,0.4,1.1,0,0.1,0.25
452,1996-97,0.415,0.618,0.8,0.333,0.1,0.44
787,1996-97,0.792,0.381,0.9,0.5,0.3,0.75
344,1996-97,0.444,0.583,1.3,0.333,0.7,0
699,1996-97,0.391,0.412,0.7,0.4,0.4,0.75
468,1996-97,0.667,0.5,1,0.5,0.3,0.5
696,1996-97,0.481,0.286,0.8,1,0.1,0.923
302,1996-97,0.563,0.548,1,0.471,0.5,0.778
916,1996-97,0.778,1,0.1,0,0,0
177,1996-97,0.727,0.2,0.2,0.5,0.1,0.875
511,1996-97,0.2,0.429,1.4,0,0.4,0
762,1996-97,0.344,0.474,0.6,0,0.1,0
210,1996-97,0.353,0.471,1.5,0.167,0.4,0.968
783,1996-97,1,0,0,0,0,0
418,1996-97,1,0,0,0,0,1
359,1996-97,0.4,1,0.1,0,0,0
244,1996-97,0.2,0.1,1,0,0.7,0
992,1996-97,0.333,0,0,0,0,0
1479,1996-97,0,0,0,0,0,0
136,1996-97,0.714,0.4,0.3,0,0,0.769
753,1996-97,0.583,1,0.1,0,0,0
977,1996-97,0.462,0.3,0.8,0,0.2,0.5
95,1996-97,0.353,0.571,0.4,0,0,0.667
146,1996-97,0.667,0,0,0,0,0
672,1996-97,0.333,0.4,0.7,0.286,0.5,1
197,1996-97,0.563,0.667,0.2,0.5,0.1,0
416,1996-97,0.8,0,0.2,0,0,1
348,1996-97,0.714,1,0.1,0,0,0.5
679,1996-97,0.556,0,0,0,0,0.833
262,1996-97,0.5,0,0.1,0,0,0
154,1996-97,0.333,0,0,0,0,0
948,1996-97,0.407,0.391,0.9,0,0.1,0.5
922,1996-97,0.563,0.556,0.8,0,0,0.607
156,1996-97,0.72,0.533,0.6,0,0,0.857
713,1996-97,0.429,0.5,0.3,0,0,0.5
1131,1996-97,0,0,0,0,0,0
208,1996-97,0.348,0.313,0.7,0.143,0.3,0.909
190,1996-97,0.8,0,0.2,0,0,0
76,1996-97,0.545,0.476,1.9,0.5,0.4,0.75
364,1996-97,0.483,0.371,1.2,0.381,0.7,0.842
384,1996-97,0.486,0.538,0.7,0,0,0.75
432,1996-97,0,0,0,0,0,0
164,1996-97,0.625,0.522,0.7,0.636,0.3,0.87
57,1996-97,0.39,0.294,0.4,0.429,0.2,0.824
934,1996-97,0.375,0.313,0.7,0.5,0.1,0.6
902,1996-97,0.5,1,0.1,0,0,0.5
55,1996-97,0.176,0.444,0.5,0,0.1,1
895,1996-97,0.655,0.4,0.3,0.2,0.2,0.765
1432,1996-97,0,0,0,0,0,0
180,1996-97,0.667,0,0.2,0,0.2,0.75
187,1996-97,0,0.667,1.5,1,0.5,0
209,1996-97,0.594,0.304,0.7,0.286,0.4,1
688,1996-97,0.706,0,0.1,0,0.1,1
956,1996-97,0.333,0,0,0,0,0
1380,1996-97,1,0,0,0,0,0
390,1996-97,0.55,0.455,0.6,0.5,0.4,0.833
212,1996-97,0.5,0,0,0,0,0
213,1996-97,0.447,0.476,0.6,0,0,0.75
905,1996-97,0.447,0.727,0.3,0,0,0.091
1023,1996-97,0.75,1,0.3,1,0.3,0
93,1996-97,0.167,0.286,0.6,0.4,0.4,0
707,1996-97,0.238,0.25,0.4,0,0,0.889
103,1996-97,0.182,0.5,0.8,0.471,0.5,0.667
692,1996-97,0.333,0.5,0.4,0,0,0.5
143,1996-97,0.409,0.5,0.5,0,0.2,0.8
219,1996-97,0.391,0.5,0.7,0.833,0.3,0.75
960,1996-97,0.714,0.6,0.4,1,0.1,1
124,1996-97,0.622,0.233,0.8,0,0.1,0.611
428,1996-97,0.438,0.409,0.7,0.6,0.2,0.846
1068,1996-97,0.25,0,0,0,0,0
17,1996-97,0.75,0.296,1,0.2,0.4,0.778
1041,1996-97,0,0,0,0,0,0
404,1996-97,1,0,0,0,0,0
201,1996-97,0.452,0,0.1,0,0,0.25
247,1996-97,0.633,0.476,0.7,0.455,0.4,0.917
434,1996-97,0,0,0.5,0,0,0
768,1996-97,0.125,1,0.4,0,0,0
721,1996-97,0.611,0.333,0.3,0,0,1
898,1996-97,0.278,0.333,0.3,0,0.1,0.824
236,1996-97,0,0,0,0,0,0
378,1996-97,0.25,0,0,0,0,0
458,1996-97,0.25,0,0.3,0,0.3,0
53,1996-97,0.667,0.385,0.4,0.167,0.2,0.88
251,1996-97,0.267,0.417,0.8,0.286,0.5,0.6
107,1996-97,0.262,0.293,1.4,0.207,0.7,0.857
111,1996-97,0.241,0.4,1.6,0.222,0.3,0.76
442,1996-97,1,0,0,0,0,0
121,1996-97,0.702,0.524,1.3,0,0,0.792
994,1996-97,0.4,0.333,0.6,0,0,0.5
273,1996-97,0.5,0.5,0.4,0.5,0.1,0.833
198,1996-97,0.395,0.421,0.5,0.5,0.2,0.941
714,1996-97,0.395,0.32,0.7,0.429,0.2,0.545
965,1996-97,0.5,0,0.5,0,0.3,0.6
323,1996-97,0.2,0.5,0.4,0,0,1
296,1996-97,0.216,0.433,0.8,0.25,0.3,0.923
957,1996-97,0.4,0.667,0.6,0,0,0.75
333,1996-97,0.65,0.5,0.2,0.5,0.1,0
708,1996-97,0.595,0.632,0.5,0,0,0.875
1051,1996-97,0.615,0.5,0.2,0,0,0.5
423,1996-97,0.55,0.5,1.1,0,0,0.6
1002,1996-97,0.2,0,0,0,0,0
761,1996-97,0.688,0.9,0.6,0,0,0.667
383,1996-97,0.417,0.425,1.1,0.5,0.2,0.667
288,1996-97,0.407,0.429,0.5,0,0,0.846
924,1996-97,0.222,0.5,0.8,0.429,0.4,0.75
37,1996-97,0,0,0,0,0,1
258,1996-97,0.5,0,0.5,0,0,1
202,1996-97,0.333,0,0.3,0,0.3,0
265,1996-97,0.444,0.5,0.2,0.5,0.1,0
270,1996-97,0.529,0.8,0.3,0,0,0.833
81,1996-97,0.625,0,0.1,0,0,0
920,1996-97,0.367,0.571,0.2,0,0,1
1036,1996-97,0.6,0,0,0,0,0
339,1996-97,0.568,0.333,1.5,0,0.2,0.8
917,1996-97,0,0,0,0,0,0
1032,1996-97,0.5,0,0,0,0,0
984,1996-97,0,0,0,0,0,0
67,1996-97,0.172,0.222,0.3,0,0,0.429
241,1996-97,0.5,1,0.5,0,0,0
358,1996-97,0.692,0.317,1.6,0.158,0.7,0.85
896,1996-97,0.707,0.339,1.4,0.333,0.7,0.765
157,1996-97,0.515,0.316,0.6,0.333,0.2,0.667
166,1996-97,0.7,0.333,0.3,0,0.1,0
970,1996-97,0,0,0,0,0,0
446,1996-97,0.273,0,0.4,0,0.2,0.75
765,1996-97,0.581,0.444,0.6,0.5,0.3,0.917
1138,1996-97,0,0,0,0,0,0
1049,1996-97,0,0,0,0,0,0
673,1996-97,0.6,0,0,0,0,0.25
971,1996-97,0.333,0,0.3,0,0,0
61,1996-97,0.4,0.667,0.4,0,0,0
255,1996-97,0.613,0.5,1.5,0.5,0.1,0.775
238,1996-97,0.452,0.769,0.4,0,0,0.615
697,1996-97,0.333,0.4,0.6,0.4,0.6,0.667
204,1996-97,0.658,0.438,0.8,0.364,0.3,0.857
109,1996-97,0.267,0.3,0.7,0.167,0.4,0.5
275,1996-97,0.667,0.333,0.4,0.167,0.1,0.739
436,1996-97,0.463,0.333,1,0,0,0.76
1128,1996-97,0,0,0,0,0,0
283,1996-97,0.613,0.3,0.6,0.25,0.4,1
310,1996-97,0.571,0,0,0,0,0
947,1996-97,0.267,0.31,1,0.143,0.2,0.792
1114,1996-97,0.353,0.167,0.4,0.25,0.2,0.5
754,1996-97,0.457,0.357,0.4,0.5,0.1,0.739
349,1996-97,0.333,0.474,0.5,0.5,0.2,0.895
1080,1996-97,0.643,0.375,0.6,0.429,0.5,1
1137,1996-97,0,0,0,0,0,0
422,1996-97,0.364,0.333,0.4,0,0.1,0.75
698,1996-97,0.632,0.444,0.5,0.333,0.3,0.818
911,1996-97,0.323,0.6,0.3,0,0,0.813
134,1996-97,0.471,0.389,1.1,0.429,0.4,0.735
913,1996-97,0.634,0.353,0.4,0.2,0.1,0.72
224,1996-97,0.615,0.238,0.5,0.2,0.1,0.813
461,1996-97,0.448,0.5,0.2,0,0,1
893,1996-97,0.679,0.388,1.8,0.25,0.4,0.825
674,1996-97,0.333,0,0,0,0,0
228,1996-97,0.625,1,0.1,0,0,0.5
431,1996-97,0.577,0.455,0.8,0,0,0.571
70,1996-97,0.704,0.571,0.3,0.6,0.2,1
760,1996-97,0.524,0.286,0.3,0,0.1,0.6
467,1996-97,0.556,0.261,0.9,0,0.3,0.714
954,1996-97,0.441,0.36,0.7,0.308,0.4,0.842
170,1996-97,0.375,0,0,0,0,0
969,1996-97,0.6,1,0.3,0,0,0.6
389,1996-97,0.688,0.6,0.6,0.5,0.4,0.5
363,1996-97,0.6,0.577,0.7,0.333,0.1,0.885
457,1996-97,0.5,1,0.2,0,0,0.75
226,1996-97,0.571,0,0.3,0,0.1,0
968,1996-97,0.5,0,0,0,0,0
100,1996-97,0,0,0,0,0,0
702,1996-97,0.613,0.429,0.5,0.286,0.2,0.667
175,1996-97,0.5,0,0,0,0,0
988,1996-97,0.75,0.25,1,1,0.3,0
3,1996-97,0.5,0.333,0.4,0,0,0.5
1381,1996-97,0.2,0.5,0.4,0,0,0
26,1996-97,0.846,0.667,0.5,0,0,0.5
248,1996-97,0.417,0,0.3,0,0.1,0
