,Unnamed: 0,0,1,2,3,4,5,6,7,8,9
0,0,PERSON_ID,SEASON,VT_FQ,VT_FG_PCT,T_FQ,T_FG_PCT,O_FQ,O_FG_PCT,WO_FQ,WO_FG_PCT
1,1,203112,2013-14,0.23,0.438,0.388,0.519,0.173,0.542,0.209,0.345
2,2,203500,2013-14,0.47,0.506,0.411,0.513,0.065,0.5,0.054,0.4
3,3,202399,2013-14,0.338,0.505,0.393,0.546,0.164,0.578,0.105,0.379
4,4,201167,2013-14,0.13,0.42,0.451,0.441,0.303,0.49,0.117,0.492
5,5,201582,2013-14,0.229,0.456,0.426,0.594,0.217,0.574,0.129,0.5
6,6,200746,2013-14,0.165,0.498,0.376,0.43,0.296,0.461,0.163,0.481
7,7,202730,2013-14,0.157,0.426,0.344,0.505,0.244,0.438,0.254,0.382
8,8,951,2013-14,0.099,0.444,0.324,0.415,0.287,0.455,0.289,0.459
9,9,2754,2013-14,0.298,0.508,0.29,0.555,0.239,0.449,0.173,0.423
10,10,202329,2013-14,0.264,0.454,0.335,0.539,0.205,0.446,0.197,0.423
11,11,200811,2013-14,0.188,0.333,0.406,0.462,0.188,0.833,0.219,0.429
12,12,2365,2013-14,0.27,0.541,0.456,0.712,0.15,0.659,0.124,0.588
13,13,101187,2013-14,0.145,0.464,0.426,0.399,0.294,0.343,0.134,0.438
14,14,202341,2013-14,0.117,0.488,0.317,0.463,0.308,0.421,0.258,0.378
15,15,201583,2013-14,0.151,0.528,0.233,0.366,0.355,0.424,0.261,0.457
16,16,203507,2013-14,0.22,0.473,0.3,0.427,0.287,0.353,0.193,0.413
17,17,2546,2013-14,0.173,0.44,0.396,0.429,0.295,0.459,0.135,0.518
18,18,201202,2013-14,0.219,0.143,0.563,0.444,0.094,0.333,0.125,0.5
19,19,203544,2013-14,0.101,0.483,0.208,0.533,0.337,0.371,0.354,0.363
20,20,2772,2013-14,0.152,0.414,0.249,0.462,0.274,0.455,0.325,0.478
21,21,200756,2013-14,0.316,0.333,0.421,0.625,0.211,0.5,0.053,0.0
22,22,201589,2013-14,0.083,0.471,0.23,0.287,0.394,0.41,0.293,0.442
23,23,201600,2013-14,0.444,0.5,0.407,0.584,0.09,0.471,0.058,0.545
24,24,201571,2013-14,0.137,0.402,0.342,0.372,0.323,0.424,0.198,0.507
25,25,202970,2013-14,0.38,0.421,0.37,0.568,0.16,0.438,0.09,0.667
26,26,201965,2013-14,0.318,0.527,0.335,0.655,0.231,0.55,0.116,0.55
27,27,202337,2013-14,0.052,0.25,0.221,0.441,0.37,0.404,0.357,0.364
28,28,2571,2013-14,0.282,0.486,0.305,0.475,0.214,0.393,0.198,0.308
29,29,200826,2013-14,0.181,0.347,0.335,0.384,0.303,0.409,0.181,0.398
30,30,200745,2013-14,0.158,0.392,0.266,0.459,0.286,0.441,0.29,0.462
