,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
1,203112,2013-14,0.698,0.464,0.223,0.484,0.065,0.556,0.014,0.0
2,203500,2013-14,0.849,0.51,0.108,0.45,0.038,0.429,0.005,1.0
3,202399,2013-14,0.709,0.554,0.182,0.46,0.065,0.5,0.044,0.25
4,201167,2013-14,0.454,0.468,0.17,0.506,0.131,0.492,0.198,0.37
5,201582,2013-14,0.815,0.576,0.116,0.448,0.044,0.455,0.02,0.2
6,202332,2013-14,0.733,0.545,0.167,0.3,0.05,1.0,0.05,0.667
7,200746,2013-14,0.514,0.514,0.192,0.391,0.151,0.421,0.14,0.394
8,202730,2013-14,0.866,0.44,0.074,0.273,0.057,0.706,0.003,1.0
9,951,2013-14,0.639,0.429,0.118,0.422,0.103,0.554,0.116,0.429
10,2754,2013-14,0.578,0.511,0.156,0.406,0.11,0.378,0.139,0.579
11,202329,2013-14,0.639,0.495,0.172,0.447,0.095,0.404,0.081,0.45
12,200811,2013-14,0.719,0.609,0.219,0.286,0.031,0.0,0.031,0.0
13,101187,2013-14,0.508,0.376,0.187,0.438,0.149,0.465,0.132,0.349
14,202341,2013-14,0.591,0.441,0.179,0.383,0.112,0.463,0.106,0.421
15,201583,2013-14,0.67,0.424,0.173,0.475,0.102,0.444,0.054,0.421
16,203507,2013-14,0.551,0.447,0.14,0.431,0.116,0.292,0.167,0.391
17,2546,2013-14,0.452,0.479,0.177,0.476,0.107,0.415,0.156,0.438
18,201202,2013-14,0.719,0.304,0.219,0.714,0.031,0.0,0.031,0.0
19,203544,2013-14,0.84,0.43,0.08,0.348,0.056,0.188,0.021,0.5
20,2772,2013-14,0.651,0.475,0.155,0.412,0.081,0.456,0.104,0.409
21,200756,2013-14,0.684,0.538,0.158,0.667,0.105,0.0,0.053,0.0
22,201589,2013-14,0.841,0.395,0.115,0.404,0.034,0.429,0.01,0.25
23,201600,2013-14,0.862,0.534,0.101,0.526,0.016,0.333,0.021,0.75
24,201571,2013-14,0.323,0.437,0.12,0.412,0.093,0.439,0.223,0.386
25,202970,2013-14,0.72,0.514,0.2,0.6,0.05,0.2,0.03,0.0
26,201965,2013-14,0.884,0.588,0.075,0.462,0.029,0.6,0.012,0.5
27,202337,2013-14,0.643,0.384,0.117,0.389,0.156,0.417,0.084,0.385
28,2571,2013-14,0.351,0.413,0.13,0.412,0.099,0.769,0.183,0.375
29,200826,2013-14,0.187,0.369,0.061,0.475,0.09,0.492,0.291,0.368
30,200745,2013-14,0.7,0.474,0.194,0.381,0.072,0.389,0.034,0.294
31,203084,2013-14,0.436,0.464,0.169,0.434,0.147,0.296,0.168,0.339
32,2440,2013-14,0.774,0.423,0.137,0.5,0.065,0.588,0.025,0.231
33,203115,2013-14,0.346,0.519,0.205,0.438,0.115,0.333,0.244,0.342
34,101138,2013-14,0.542,0.535,0.215,0.484,0.114,0.354,0.114,0.402
35,2203,2013-14,0.818,0.4,0.109,0.3,0.055,0.2,0.018,0.6
36,201587,2013-14,0.597,0.471,0.098,0.488,0.09,0.419,0.171,0.443
37,201573,2013-14,0.385,0.422,0.133,0.329,0.107,0.364,0.223,0.423
38,203382,2013-14,0.773,0.444,0.135,0.364,0.061,0.7,0.031,0.0
39,203145,2013-14,0.287,0.429,0.143,0.429,0.181,0.371,0.275,0.511
40,203078,2013-14,0.406,0.448,0.214,0.376,0.153,0.41,0.185,0.431
41,201563,2013-14,0.441,0.526,0.266,0.468,0.153,0.407,0.124,0.568
42,201158,2013-14,0.678,0.515,0.127,0.443,0.089,0.403,0.072,0.36
43,203461,2013-14,0.751,0.355,0.164,0.324,0.058,0.462,0.027,0.333
44,201976,2013-14,0.585,0.427,0.06,0.31,0.069,0.333,0.167,0.4
45,1497,2013-14,0.468,0.361,0.078,0.167,0.065,0.4,0.286,0.227
46,202687,2013-14,0.838,0.639,0.106,0.533,0.021,0.667,0.035,0.4
