,GROUP_VALUE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,4Q_FG_PCT,4Q_FG3_PCT,4Q_FT_PCT,4Q_OREB,4Q_DREB,4Q_REB,4Q_AST,4Q_TOV,4Q_STL,4Q_BLK,PO_FG_PCT,PO_FG3_PCT,PO_FT_PCT,PO_OREB,PO_DREB,PO_REB,PO_AST,PO_TOV,PO_STL,PO_BLK,SC_FG_PCT,SC_FG3_PCT,SC_FT_PCT,SC_OREB,SC_DREB,SC_REB,SC_AST,SC_TOV,SC_STL,SC_BLK,PERSON_ID,SC_FG_PCT_DIFF,SC_FG3_PCT_DIFF,PO_FT_PCT_DIFF,4Q_FT_PCT_DIFF,SEASON_ID,GP,GS,AVG_MIN,AGE
0,1996-97,0.445,0.382,0.846,0.2,1.4,1.6,2.5,1.6,0.7,0.1,0.423,0.35600000000000004,0.787,0.0,0.3,0.4,0.5,0.3,0.2,0.0,,,,,,,,,,,,,,,,,,,,,51,,,,0.05899999999999994,1996-97,75,51.0,28.4,28.0
1,1997-98,0.377,0.161,1.0,0.2,1.0,1.2,1.9,0.6,0.5,0.0,0.359,0.0,1.0,0.1,0.5,0.6,1.0,0.3,0.1,0.0,,,,,,,,,,,,,,,,,,,,,51,,,,0.0,1997-98,31,0.0,17.1,29.0
2,2000-01,0.488,0.28600000000000003,0.759,0.1,0.5,0.6,1.9,0.6,0.2,0.0,0.466,0.5,0.7859999999999999,0.1,0.2,0.4,0.9,0.3,0.1,0.0,,,,,,,,,,,,,,,,,,,,,51,,,,-0.026999999999999913,2000-01,41,0.0,11.8,32.0
3,1997-98,0.40299999999999997,0.21100000000000002,0.672,0.7,1.2,2.0,0.9,1.1,0.6,0.2,0.366,0.364,0.69,0.4,0.6,1.0,0.3,0.4,0.3,0.1,,,,,,,,,,,,,,,,,,,,,1505,,,,-0.017999999999999905,1997-98,59,16.0,16.3,23.0
4,1998-99,0.435,0.28600000000000003,0.691,1.5,2.3,3.8,1.0,1.4,1.0,0.3,0.40700000000000003,0.0,0.2,0.2,0.2,0.4,0.1,0.3,0.2,0.0,0.455,0.0,0.813,1.2,2.6,3.8,0.8,0.6,0.8,0.8,,,,,,,,,,,1505,,,-0.122,0.49099999999999994,1998-99,49,49.0,24.6,24.0
5,1999-00,0.41533333333300004,0.241666666667,0.752,1.6666666666699999,2.83333333333,4.5,1.63333333333,1.63333333333,0.8666666666670001,0.533333333333,0.4066666666666667,0.0,0.7536666666666667,0.26666666666666666,0.6,0.8666666666666667,0.3333333333333333,0.4,0.13333333333333333,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,1505,,,,-0.0016666666666667052,1999-00,61,56.0,25.666666666666668,25.0
6,2000-01,0.387,0.4,0.583,0.5,1.6,2.0,0.8,1.2,0.5,0.4,0.25,0.33299999999999996,0.5,0.1,0.5,0.5,0.2,0.4,0.1,0.2,,,,,,,,,,,,,,,,,,,,,1505,,,,0.08299999999999996,2000-01,29,12.0,14.5,26.0
7,2001-02,0.251,0.33333333333299997,0.492333333333,1.4,1.6,2.96666666667,0.8666666666670001,1.0333333333299999,0.733333333333,0.4,0.26666666666666666,0.0,0.4446666666666667,0.16666666666666666,1.1666666666666667,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.3666666666666667,0.3666666666666667,,,,,,,,,,,,,,,,,,,,,1505,,,,0.04766666666633329,2001-02,24,12.0,15.1,27.0
8,2002-03,0.466,0.0,0.5,1.0,1.9,2.9,1.5,0.5,0.4,0.2,0.391,0.0,0.5,0.3,0.3,0.5,0.5,0.4,0.1,0.1,0.3,0.0,0.875,1.4,1.4,2.8,0.9,0.1,0.0,0.0,,,,,,,,,,,1505,,,-0.375,0.0,2002-03,14,0.0,14.5,28.0
9,1996-97,0.45299999999999996,0.259,0.746,2.7,4.2,6.9,2.2,2.8,1.0,1.0,0.40299999999999997,0.25,0.752,0.6,1.1,1.8,0.3,0.6,0.2,0.3,,,,,,,,,,,,,,,,,,,,,949,,,,-0.006000000000000005,1996-97,80,71.0,35.0,20.0
