,GROUP_VALUE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,4Q_FG_PCT,4Q_FG3_PCT,4Q_FT_PCT,4Q_OREB,4Q_DREB,4Q_REB,4Q_AST,4Q_TOV,4Q_STL,4Q_BLK,PO_FG_PCT,PO_FG3_PCT,PO_FT_PCT,PO_OREB,PO_DREB,PO_REB,PO_AST,PO_TOV,PO_STL,PO_BLK,SC_FG_PCT,SC_FG3_PCT,SC_FT_PCT,SC_OREB,SC_DREB,SC_REB,SC_AST,SC_TOV,SC_STL,SC_BLK,PERSON_ID,DISPLAY_FIRST_LAST
0,2016-17,0.393,0.381,0.898,0.3,1.0,1.3,0.6,0.5,0.5,0.1,0.375,0.36,0.857,0.1,0.3,0.5,0.2,0.2,0.1,0.0,0.348,0.294,0.75,0.4,1.4,1.8,0.8,0.0,0.0,0.0,0.368,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203518,Alex Abrines
1,2012-13,0.56,0.5,0.816,1.0,1.6,2.7,0.4,0.6,0.4,0.5,0.577,0.5,0.792,0.5,0.7,1.1,0.1,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,203112,Quincy Acy
2,2013-14,0.4563333333333333,0.289,0.6506666666666666,1.0,2.033333333333333,3.033333333333333,0.4666666666666666,0.43333333333333335,0.4333333333333333,0.4000000000000001,0.3646666666666667,0.12033333333333333,0.6183333333333333,0.39999999999999997,0.9,1.3,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,203112,Quincy Acy
3,2014-15,0.459,0.3,0.784,1.2,3.3,4.4,1.0,0.9,0.4,0.3,0.488,0.313,0.818,0.3,1.0,1.3,0.2,0.3,0.1,0.1,,,,,,,,,,,0.25,0.222,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,203112,Quincy Acy
4,2015-16,0.556,0.388,0.735,1.1,2.1,3.2,0.5,0.5,0.5,0.4,0.58,0.5,0.783,0.3,0.6,0.9,0.1,0.2,0.3,0.2,,,,,,,,,,,0.333,0.333,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,203112,Quincy Acy
5,2016-17,0.377,0.3293333333333333,0.7236666666666668,0.46666666666666673,2.1,2.533333333333333,0.3666666666666667,0.5,0.26666666666666666,0.3,0.38633333333333336,0.34833333333333333,0.7123333333333334,0.19999999999999998,0.5666666666666667,0.7666666666666667,0.13333333333333333,0.20000000000000004,0.06666666666666667,0.16666666666666666,,,,,,,,,,,0.20366666666666666,0.3056666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,203112,Quincy Acy
6,2013-14,0.503,0.0,0.581,1.8,2.3,4.1,0.5,0.9,0.5,0.7,0.5,0.0,0.629,0.4,0.7,1.2,0.2,0.4,0.2,0.2,0.689,0.0,0.348,1.2,2.9,4.1,0.2,0.6,0.1,1.3,,,,,,,,,,,203500,Steven Adams
7,2014-15,0.544,0.0,0.502,2.8,4.6,7.5,0.9,1.4,0.5,1.2,0.481,0.0,0.418,1.0,1.4,2.4,0.3,0.3,0.2,0.3,,,,,,,,,,,0.611,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.1,203500,Steven Adams
8,2015-16,0.613,0.0,0.582,2.7,3.9,6.7,0.8,1.1,0.5,1.1,0.511,0.0,0.405,0.6,0.9,1.6,0.1,0.2,0.1,0.2,0.613,0.0,0.63,3.4,6.1,9.5,0.7,0.9,0.5,0.8,0.471,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.2,203500,Steven Adams
9,2016-17,0.571,0.0,0.611,3.5,4.2,7.7,1.1,1.8,1.1,1.0,0.556,0.0,0.574,0.7,0.8,1.5,0.2,0.3,0.3,0.3,0.643,0.0,0.364,3.4,3.4,6.8,1.4,0.8,1.2,1.8,0.333,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.1,203500,Steven Adams
10,2007-08,0.411,0.208,0.782,0.5,1.3,1.8,0.7,0.5,0.4,0.1,0.397,0.308,0.725,0.2,0.8,1.0,0.3,0.3,0.2,0.0,0.389,0.0,0.0,0.0,0.4,0.4,0.5,0.1,0.3,0.0,,,,,,,,,,,201167,Arron Afflalo
