,PERSON_ID,DISPLAY_FIRST_LAST,Q1_FGA,Q4_FGA,Q1_FG_PCT,Q4_FG_PCT,CD_2ft_FGA,CD_4ft_FGA,CD_6ft_FGA,CD_open_FGA,CD_2ft_FG_PCT,CD_4ft_FG_PCT,CD_6ft_FG_PCT,CD_open_FG_PCT
0,203518,Alex Abrines,1.7,1.8,0.44,0.375,0.4,1.16,2.15,1.31,0.444,0.38,0.397,0.382
1,203112,Quincy Acy,1.8,1.5,0.395,0.479,0.05,0.13,0.16,0.21,0.5,0.6,0.5,0.125
2,203500,Steven Adams,3.2,1.1,0.569,0.556,2.63,4.1,1.1,0.34,0.495,0.591,0.636,0.741
3,201167,Arron Afflalo,2.4,1.4,0.441,0.379,0.77,2.79,2.43,0.85,0.447,0.435,0.419,0.519
4,201582,Alexis Ajinca,1.8,1.1,0.453,0.464,0.77,1.74,1.03,1.0,0.4,0.574,0.55,0.41
5,202332,Cole Aldrich,0.5,0.6,0.462,0.381,0.37,0.81,0.18,0.03,0.391,0.52,0.727,1.0
6,200746,LaMarcus Aldridge,4.6,3.2,0.465,0.454,2.39,4.76,3.82,3.59,0.518,0.512,0.446,0.439
7,202730,Lavoy Allen,1.1,0.6,0.491,0.516,0.58,0.9,0.6,0.72,0.371,0.574,0.472,0.372
8,2754,Tony Allen,2.3,1.7,0.454,0.475,3.0,3.34,1.08,0.96,0.423,0.523,0.416,0.412
9,202329,Al-Farouq Aminu,1.7,1.9,0.443,0.369,1.67,1.9,1.33,2.72,0.353,0.509,0.395,0.337
10,2365,Chris Andersen,0.6,1.5,0.0,0.375,0.25,0.83,0.17,0.5,0.667,0.4,0.5,0.167
11,101187,Alan Anderson,0.5,1.6,0.556,0.375,0.27,1.4,0.63,0.37,0.375,0.429,0.368,0.182
12,1626147,Justin Anderson,1.7,2.5,0.366,0.439,0.92,1.68,1.64,1.66,0.5,0.5,0.38,0.366
13,203937,Kyle Anderson,1.0,1.4,0.275,0.477,0.72,0.89,0.69,0.62,0.529,0.476,0.367,0.364
14,201583,Ryan Anderson,3.7,2.0,0.453,0.411,1.24,1.51,3.68,4.31,0.438,0.45,0.411,0.406
15,203507,Giannis Antetokounmpo,4.5,3.5,0.548,0.517,3.56,6.18,3.48,2.36,0.596,0.575,0.435,0.423
16,2546,Carmelo Anthony,5.7,3.6,0.476,0.391,2.55,8.85,5.49,1.88,0.423,0.44,0.414,0.475
17,201202,Joel Anthony,0.3,0.8,0.0,0.615,0.21,0.42,0.16,0.05,0.25,0.625,1.0,1.0
18,2772,Trevor Ariza,3.4,1.9,0.426,0.378,0.81,2.35,3.46,3.25,0.431,0.388,0.422,0.396
19,201589,Darrell Arthur,1.4,1.6,0.574,0.383,0.24,1.24,1.71,1.85,0.3,0.392,0.514,0.421
20,201600,Omer Asik,1.1,0.3,0.576,0.667,0.74,1.0,0.26,0.06,0.348,0.452,0.75,1.0
21,201571,D.J. Augustin,1.4,2.2,0.385,0.37,0.87,2.13,2.44,1.08,0.368,0.343,0.4,0.405
22,202337,Luke Babbitt,1.9,0.7,0.426,0.4,0.24,0.47,1.6,1.81,0.188,0.375,0.385,0.455
23,1627758,Ron Baker,1.6,1.7,0.478,0.364,0.77,1.37,1.13,0.9,0.4,0.38,0.322,0.426
24,1627735,Wade Baldwin IV,1.4,1.4,0.458,0.295,0.7,1.42,0.58,0.76,0.391,0.34,0.316,0.2
25,2571,Leandro Barbosa,1.2,2.6,0.519,0.471,1.28,1.91,1.51,1.14,0.458,0.476,0.408,0.419
26,200826,J.J. Barea,2.5,2.9,0.427,0.474,0.85,3.53,3.76,1.71,0.414,0.408,0.422,0.448
27,203084,Harrison Barnes,4.4,3.6,0.477,0.442,2.38,6.33,4.67,2.78,0.532,0.47,0.437,0.456
28,2440,Matt Barnes,1.4,1.9,0.415,0.384,0.73,1.49,2.08,2.09,0.352,0.409,0.422,0.361
29,203115,Will Barton,2.5,2.9,0.36,0.426,2.25,4.07,3.58,0.97,0.459,0.442,0.441,0.386
30,101138,Brandon Bass,1.1,2.0,0.393,0.579,0.92,1.54,0.83,0.27,0.542,0.575,0.605,0.643
31,201587,Nicolas Batum,3.7,2.6,0.43,0.318,1.73,5.27,3.56,2.08,0.383,0.404,0.416,0.4
32,201573,Jerryd Bayless,1.7,2.3,0.4,0.143,1.67,4.33,3.33,1.33,0.2,0.308,0.3,0.75
33,203382,Aron Baynes,0.8,1.2,0.51,0.512,1.05,1.61,0.53,0.51,0.405,0.545,0.625,0.526
34,203145,Kent Bazemore,2.4,2.3,0.427,0.371,1.33,2.89,2.77,2.89,0.289,0.427,0.416,0.441
35,203078,Bradley Beal,4.8,4.4,0.542,0.481,2.22,5.38,5.62,3.79,0.439,0.502,0.478,0.49
36,1627736,Malik Beasley,3.3,2.1,0.5,0.439,0.71,1.24,0.62,0.81,0.6,0.385,0.462,0.353
37,201563,Michael Beasley,2.6,2.6,0.505,0.522,1.04,3.79,1.54,0.79,0.672,0.538,0.395,0.568
38,201158,Marco Belinelli,1.4,3.1,0.4,0.415,0.59,3.19,3.08,1.42,0.5,0.394,0.469,0.39
39,1627761,DeAndre' Bembry,0.5,1.8,0.714,0.45,0.47,1.29,0.45,0.37,0.611,0.429,0.471,0.5
40,1627733,Dragan Bender,1.1,1.1,0.444,0.359,0.39,0.68,1.02,1.63,0.563,0.5,0.238,0.313
