,ENRL_ORIG_YR2_RT,SAT_AVG
0,0.3474264706,823.0
1,0.3919874313,1146.0
3,0.3555743243,1180.0
4,0.3450881612,830.0
5,0.4481848185,1171.0
8,0.2747081712,970.0
9,0.5521861777,1215.0
10,0.4921465969,1177.0
23,0.2987341772,999.0
26,0.3401231644,1036.0
30,0.2072072072,1023.0
32,0.2468030691,950.0
34,PrivacySuppressed,1040.0
36,0.3381147541,1058.0
37,0.4150326797,1070.0
39,0.371667936,1028.0
41,0.3728489484,924.0
46,0.463356974,1153.0
50,0.3552933464,1064.0
51,0.3580246914,1100.0
52,0.2413793103,970.0
53,0.3141993958,882.0
56,0.2736799678,990.0
57,0.4644549763,937.0
64,0.2696629213,1008.0
83,0.4271195689,1145.0
85,0.4783673469,1106.0
97,0.3258388101,1171.0
111,0.345747445,1050.0
120,0.206185567,1094.0
127,0.3274853801,1045.0
133,0.2619741774,1077.0
139,0.3138297872,1142.0
142,0.4264524104,1156.0
143,0.2926829268,842.0
145,0.238286864,1088.0
146,0.2742570712,1008.0
149,0.0497382199,970.0
151,0.3333333333,1070.0
152,0.1924398625,974.0
161,0.3738601824,1139.0
162,0.2964254577,1011.0
163,0.4870689655,1267.0
166,0.4106813996,1144.0
177,0.3603603604,1090.0
180,0.3554216867,1057.0
181,0.0716763006,930.0
192,0.2127659574,1001.0
194,0.2670520231,989.0
197,0.2571274879,1028.0
217,0.5012345679,1098.0
222,0.4609856263,1123.0
230,0.4941245593,984.0
233,0.7477477477,1534.0
234,0.4290076336,1108.0
235,0.5515933232,1242.0
237,0.1852185669,901.0
238,0.4840162089,917.0
239,0.5018306078,888.0
240,0.5807004653,1070.0
241,0.5371287129,1014.0
242,0.3553642791,845.0
243,0.5047242364,920.0
244,0.5884661836,1021.0
245,0.399691358,910.0
246,0.5847637731,1012.0
247,0.4634825871,871.0
248,0.4192899408,918.0
249,0.4396524487,945.0
250,0.61557237,1350.0
251,0.5866692577,1192.0
252,0.6488611167,1122.0
253,0.5963320463,1289.0
254,0.5768579037,1078.0
255,0.6363863239,1276.0
257,0.5922165821,1212.0
258,0.5883211679,1087.0
266,0.6701570681,1080.0
283,0.5340715503,1208.0
284,PrivacySuppressed,735.0
285,0.3873873874,1020.0
286,0.3660477454,986.0
292,0.5256410256,1397.0
316,0.5261845387,1057.0
339,0.3977272727,979.0
352,0.7473684211,1483.0
359,0.3501577287,910.0
361,0.4464636542,1008.0
375,0.4064516129,930.0
377,0.3972939729,1035.0
386,0.2543443918,926.0
395,0.3623188406,1104.0
401,0.5834127741,1202.0
416,0.3299492386,1001.0
419,0.3779264214,1151.0
431,0.3836898396,928.0
452,0.3129411765,972.0
453,0.5849056604,1303.0
457,0.5447761194,1002.0
459,0.4258675079,951.0
466,0.4024640657,1017.0
467,0.3416009019,1172.0
472,0.5764499121,1235.0
475,0.4796875,1155.0
476,0.6785714286,1454.0
483,0.5567839196,1135.0
499,0.5376320897,1090.0
500,0.5121412804,1228.0
501,0.3611111111,1061.0
503,0.4585674157,998.0
505,0.5991452991,1161.0
510,0.431122449,1039.0
512,0.4815804543,1030.0
518,0.5599489796,1294.0
522,0.5585585586,1364.0
531,0.3176733781,1030.0
536,0.5650289017,1115.0
538,0.4084668192,1006.0
542,0.4037089872,980.0
547,0.5625,1137.0
548,0.5336726703,1380.0
552,0.7820512821,1243.0
570,0.3904109589,1193.0
571,0.4109263658,1043.0
572,0.5171232877,987.0
579,0.2424969988,939.0
584,0.3827770911,1073.0
585,0.3663812528,1068.0
587,0.532622823,1192.0
589,0.6844919786,1323.0
594,0.656626506,1298.0
596,0.5432016075,1127.0
607,0.5086848635,1231.0
609,0.3292951542,1049.0
616,0.2848330914,972.0
617,0.3321287214,973.0
624,0.3707093822,1029.0
631,0.3422733078,1111.0
634,0.202484472,967.0
640,0.356557377,1005.0
641,0.3550420168,830.0
647,0.3629441624,923.0
648,0.4722943723,1006.0
654,0.5651024455,1233.0
657,0.4507729862,1017.0
664,0.3831360947,1053.0
676,0.4954703833,1034.0
683,0.1923472008,865.0
685,0.6341666667,1102.0
